table,item_name,url,description
t2,Labor Dept prgms ( excl unemployment ),http://www.dol.gov/,"This line item reflects the activities of the Department of Labor, excluding unemployment insurance."
t2,Lend Lease Receipts,,"This line item is no lonnger in use. For the history buffs out there, it refers to the 1941 ""Lend-Lease Act"" that allowed the United States to lend or lease war supplies to any nation deemed ""vital to the defense of the United States."""
t2,Library of Congress,http://www.loc.gov/index.html,This is the research library of the United States Congress.
t2,Maritime Administration,http://www.marad.dot.gov/,This is the division of the Department of Transportation that administers waterborne transportation.
t2,Medicaid,http://www.medicaid.gov/,Medicaid is the Federal healthcare provider for low-income families and individuals. This line item reflects payments Medicaid makes on behalf of its beneficiaries.
t2,Medicare,http://www.medicare.gov/,Medicare is the Federal healthcare provider for the elderly. This line item reflects payments Medicare makes on behalf of its beneficiaries.
t2,Medicare Premiums,http://www.medicare.gov/,Medicare is the Federal healthcare provider for the elderly. This line item reflects premiums that Medicare beneficiaries pay for their coverage.
t2,Military Active Duty Pay ( EFT ),http://www.dfas.mil/,These are paychecks issued to military active duty personnel via electronic funds transfers.
t2,Military Retirement ( EFT ),http://www.dfas.mil/,These are monthly retirement benefits paid via electronic funds transfers to retired members of the U.S. armed forces paid by the Defense Finance and Accounting Service.
t2,Minerals Management Service,http://www.boemre.gov/,"This line item reflects the activities of the former Minerals Management Service, which collected mining and drilling lease revenues for the Department of the Interior prior to an October 2010 reorganization. The Minerals Management Service no longer exists, but this line item is still used to keep track of payments and receipts for the three agencies that succeeded it."
t2,NASA programs,http://www.nasa.gov/,This is the agency that administers U.S. space exploration and reserach programs.
t2,National Credit Union Administration,http://www.ncua.gov/Pages/default.aspx,"This is the agency that regulates, charters and supervises federal credit unions."
t2,National Highway Traffic Safety Admin,http://www.nhtsa.gov/,This is the agency in charge of writing and enforcing vehicle safety standards and collecting data on traffic fatalities.
t2,Natl Railroad Retirement Inv Trust,http://www.rrb.gov/mep/nrrit.asp,"This is the retirement fund run by the Railroad Retirement Board, which administers retirement and survivor, unemployment and sickness benefits for U.S. railroad workers and their families."
